comparison,baseline,candidate,instance,paired_runs,baseline_median_fitness,candidate_median_fitness,quality_ratio,baseline_mean_raw_function_evaluations,candidate_mean_raw_function_evaluations,raw_fe_ratio,baseline_mean_best_found_function_evaluations,candidate_mean_best_found_function_evaluations,best_found_fe_ratio,runtime_ratio,final_robust_stdev_ratio,final_R_delta,quality_outcome,raw_fe_outcome
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_61_workers.fjs,10,2090.034333079059,1998.862351105839,0.9563777587141813,4999992,4999992,1.0,4230448.8,1907762.4,0.45095981305813226,0.9999998073080758,0.9382477980117918,0.005123861443598443,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_63_workers.fjs,10,911.1605759111883,894.0137648565251,0.981181351006637,4999992,4999992,1.0,3437022,3973910.4,1.1562074377178848,0.9999999959141631,0.909724312046121,0.0032984218383180774,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2b_Hurink_edata_1_workers.fjs,10,108.58989260091764,107.61394198103216,0.9910125095760779,4999992,4999992,1.0,3632246.4,2452466.4,0.675192740228196,0.9999991614659408,1.033148225258708,0.0063708979023551215,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2b_Hurink_edata_6_workers.fjs,10,1272.2324936657433,1259.4319323132618,0.9899385046237904,4999992,4999992,1.0,3444320.4,3166064.4,0.9192130906288509,0.9999996185416703,0.8827418109013785,-0.0018435700122410026,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2c_Hurink_rdata_28_workers.fjs,10,2322.718791451521,2073.291867593205,0.8926142394954133,4999992,4999992,1.0,4507658.4,3251667.6,0.7213651327261178,1.0000000436615364,0.8774015880644677,0.012040791424548392,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2c_Hurink_rdata_38_workers.fjs,10,4701.139596615228,4330.072068947751,0.9210686004868603,4999992,1547188.8,0.30943825510120815,4597831.2,638071.2,0.1387765605662078,1.000001086023312,0.9750384800604518,0.00492283372017166,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2c_Hurink_rdata_50_workers.fjs,10,13618.96422308381,12984.758185000464,0.9534321386197356,4999992,4999992,1.0,3761815.2,2813395.2,0.7478823521155425,1.0000010352307487,0.9632963446444542,0.015619522163208277,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2d_Hurink_vdata_18_workers.fjs,10,2521.8338979806867,2405.983650768681,0.9540611111204546,4999992,4999992,1.0,4345572,2674204.8,0.6153861447929064,1.0000036806922903,0.9325250277782091,0.00792555386321947,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2d_Hurink_vdata_30_workers.fjs,10,3036.5195135981203,2778.2787638174195,0.9149550172082712,4999992,4303747.2,0.8607508172013075,4558284,1626052.8,0.3567247674782879,1.0000009267363725,1.1199752918298411,0.018679641391615487,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2d_Hurink_vdata_5_workers.fjs,10,1227.9561300248229,1157.0797678681758,0.9422810307114031,4999992,4999992,1.0,4082884.8,2501616,0.6127079559041196,1.000000197357238,0.812907095156397,0.0015908404317586111,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,3_DPpaulli_15_workers.fjs,10,7331.417845749604,6140.802149049347,0.8376008949768812,4999992,1276446,0.25528960846337356,4874680.8,644114.4,0.13213468254167535,0.9999930721012628,0.8696327156879302,0.01267483757742438,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,3_DPpaulli_18_workers.fjs,10,7177.358942166324,6141.669383502262,0.855700464891134,4999992,1195808.4,0.23916206265930023,4751589.6,752370,0.15834069508023169,0.9999996621469067,0.9853693369359954,0.013163577689665473,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,3_DPpaulli_1_workers.fjs,10,6469.5220093268945,6206.6408773414405,0.9593662203163592,4999992,3971768.4,0.7943549509679215,4136608.8,1538558.4,0.3719371287901336,0.9999995012933617,0.9702058467394095,0.00298397561470809,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,3_DPpaulli_9_workers.fjs,10,6135.905641383966,5485.157360311327,0.893944216370664,4999992,2842648.8,0.5685306696490714,4835484,1378531.2,0.28508649806306874,1.0000061289105522,1.044900984579168,0.013141640901340068,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,4_ChambersBarnes_10_workers.fjs,10,2338.768602222407,2251.291777613901,0.9625970587575952,4999992,4999992,1.0,4347338.4,1814488.8,0.417379240594659,1.0000043053917624,1.0144953958515648,0.01069832552894212,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,5_Kacem_3_workers.fjs,10,17.330337686985324,16.860441943627244,0.972885944183825,4999992,4999992,1.0,3638785.2,3553156.8,0.9764678607574857,1.000000101580502,0.8786379010206989,0.009987244138370599,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,5_Kacem_4_workers.fjs,10,40.01026487450223,32.36109532463876,0.808819822266707,4999992,4999992,1.0,4164261.6,3880041.6,0.9317478037402838,0.9999988800783681,0.7458642563378097,-0.006237875094646128,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,6_Fattahi_14_workers.fjs,10,1234.1914017448082,1214.6712448739886,0.9841838495688566,4999992,4999992,1.0,3132909.6,1791256.8,0.5717550228707525,1.0000012546821582,1.0753725229909237,0.006696065623257752,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,6_Fattahi_20_workers.fjs,10,3066.7372922616833,2850.8090521508634,0.9295902388979738,4999992,4999992,1.0,3495387.6,3533294.4,1.0108448058807555,1.0000001123119147,0.9969201891395009,0.006718767892934796,win,tie
