comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,baseline_raw_function_evaluations,candidate_raw_function_evaluations,raw_function_evaluations_ratio,baseline_best_found_function_evaluations,candidate_best_found_function_evaluations,baseline_runtime_s,candidate_runtime_s
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,9,1008,2764.535575351187,2865.201284873986,1.0364132443873546,4999992,4999992,1.0,4647048,2979060,129600.07880210876,129600.98097586632
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,10,1009,2867.001232494927,2738.727654882897,0.955258624880184,4999992,4999992,1.0,2586552,1058376,129600.62152838707,129600.04794406891
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,1,1000,112.97014230823892,110.90598850207537,0.9817283242811936,4999992,4999992,1.0,3951468,4281132,129600.31006836891,129600.05150032043
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,2,1001,120.58496858419413,113.66012574534052,0.9425729183317025,4999992,4999992,1.0,1892976,2519928,129600.10041046143,129600.02778720856
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,3,1002,119.60679875995255,120.10997200067368,1.0042068949753515,4999992,4999992,1.0,1776192,758184,129600.41736674309,129600.36880421638
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,4,1003,114.14000790201935,112.15694471818063,0.9826260465520466,4999992,4999992,1.0,2096928,4034412,129600.08581113815,129600.6906068325
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,5,1004,113.27327202926625,113.12770537711093,0.9987149073250244,4999992,4999992,1.0,2096724,2578344,129600.00350856781,129600.71892738342
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,6,1005,119.63461995679533,112.035431440313,0.9364800212578375,4999992,4999992,1.0,2529852,4781244,129600.08423948288,129600.89291024208
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,7,1006,120.6939867339963,111.9202511725688,0.9273059429152474,4999992,4999992,1.0,2219580,3274488,129600.0273578167,129600.0098657608
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,8,1007,119.05955352071204,113.24010124241296,0.9511215009109982,4999992,4999992,1.0,3927984,4303668,129600.49047470093,129600.97104096413
