comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,improvement_percent,baseline_runtime_s,candidate_runtime_s,baseline_function_evaluations,candidate_function_evaluations,baseline_final_R,candidate_final_R
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,2,1001,280.6325424526168,292.68695124843515,1.0429544225002119,-4.295442250021186,35078.63677120209,35837.49815869331,4978780,3197600,2.1100191161850885,2.136401104003176
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,3,1002,307.0732532231711,284.765672464032,0.9273542044935882,7.264579550641182,36585.94376420975,36586.03337717056,3269620,3198520,2.1324531473831327,2.141095281684451
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,4,1003,311.1444650505168,288.792224065562,0.9281612128908487,7.183878710915126,36208.09214782715,37197.76943445206,4205320,3695550,2.145823896900116,2.123472235776191
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,5,1004,288.5117629205803,318.0135622239057,1.1022551004668968,-10.225510046689678,36563.002455472946,36902.0718729496,4663510,4969770,2.121410021474855,2.134319209556414
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,6,1005,282.46775787837066,290.16622994809956,1.0272543391414033,-2.7254339141403294,36059.3068215847,35966.21493434906,3242300,3384160,2.139907256654323,2.149379481097034
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,7,1006,297.88913684058264,290.06290740458525,0.973727711191477,2.627228880852295,36441.76172208786,37307.46789908409,4631970,4198490,2.1277795488613047,2.1328154956219505
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,8,1007,285.8039762215631,298.5432862993408,1.044573592873676,-4.4573592873675905,36419.11933636665,35964.09438371658,4811780,4694520,2.1170664905300973,2.147793426613963
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,9,1008,299.1987537418759,283.81777561861384,0.9485927734293589,5.140722657064112,36014.08448982239,36629.811317920685,3553710,4891000,2.121976976892737,2.1180431016314465
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,10,1009,272.2452274879661,292.362893857644,1.0738953867265393,-7.389538672653928,36547.818692445755,36073.12488722801,4320950,4960320,2.1104281200617527,2.1497271607179704
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_60_workers.fjs,1,1000,1788.944679322035,1656.4409943344542,0.9259319270633923,7.4068072936607665,129600.08340167999,129601.55102705956,238710,119580,2.104640799202394,2.1101159163496233
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_60_workers.fjs,2,1001,1746.2581947190406,1878.7642692356926,1.0758800015469483,-7.5880001546948295,129600.61742901802,129601.64305996895,387950,79930,2.1115576719698192,2.1038793608462405
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_60_workers.fjs,3,1002,1954.604978157716,1880.234435079232,0.9619511134425838,3.804888655741623,129600.8949046135,129600.058095932,258780,108300,2.1062553643940904,2.0984759320080717
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_60_workers.fjs,4,1003,1940.2286687536455,1956.818900726818,1.0085506580952799,-0.8550658095279884,129601.1964995861,129601.09973788261,198040,176630,2.1066543634675847,2.1109157505143665
